model,case_type,high_confidence_error,image_id,image_path,series,human_score,human_label,predicted_label,score_good,score_bad,prediction_confidence,reference_reason,analysis_reason,boundary_case,possible_distribution_shift
VGG16,agreement,False,p2_img19,data/raw/p2_img19.png,p2_img,9,Good,Good,1.0,0.0,1.0,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。,,,
VGG16,agreement,False,p2_seed2,data/raw/p2_seed2.jpg,p2_seed,10,Good,Good,1.0,0.0,1.0,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。,,,
VGG16,agreement,False,p3_img13,data/raw/p3_img13.png,p3_img,8,Good,Good,1.0,0.0,1.0,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。,,,
VGG16,agreement,False,p6_img10,data/raw/p6_img10.png,p6_img,6,Bad,Bad,0.006968,0.993032,0.993032,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
VGG16,agreement,False,p4_seed17,data/raw/p4_seed17.jpg,p4_seed,6,Bad,Bad,0.016097,0.983903,0.983903,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
VGG16,disagreement,True,p5_seed28,data/raw/p5_seed28.jpg,p5_seed,7,Bad,Good,1.0,0.0,1.0,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
VGG16,disagreement,True,p9_img14,data/raw/p9_img14.png,p9_img,7,Bad,Good,0.999993,7e-06,0.999993,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
VGG16,disagreement,False,p2_img18,data/raw/p2_img18.png,p2_img,6,Bad,Good,0.999466,0.000534,0.999466,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
VGG16,disagreement,False,p6_seed16,data/raw/p6_seed16.jpg,p6_seed,6,Bad,Good,0.999027,0.000973,0.999027,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
VGG16,disagreement,False,p4_seed26,data/raw/p4_seed26.jpg,p4_seed,7,Bad,Good,0.985045,0.014955,0.985045,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet18,agreement,False,p4_seed8,data/raw/p4_seed8.jpg,p4_seed,9,Good,Good,0.993472,0.006529,0.993472,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。,,,
ResNet18,agreement,False,p0_img26,data/raw/p0_img26.png,p0_img,8,Good,Good,0.989272,0.010728,0.989272,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。,,,
ResNet18,agreement,False,p2_seed0,data/raw/p2_seed0.jpg,p2_seed,10,Good,Good,0.983633,0.016367,0.983633,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。,,,
ResNet18,agreement,False,p1_seed12,data/raw/p1_seed12.jpg,p1_seed,5,Bad,Bad,0.157629,0.842371,0.842371,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。,,,
ResNet18,agreement,False,p6_img18,data/raw/p6_img18.png,p6_img,7,Bad,Bad,0.237647,0.762353,0.762353,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet18,disagreement,True,p4_seed26,data/raw/p4_seed26.jpg,p4_seed,7,Bad,Good,0.999866,0.000135,0.999866,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet18,disagreement,True,p9_img5,data/raw/p9_img5.png,p9_img,6,Bad,Good,0.999307,0.000693,0.999307,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
ResNet18,disagreement,False,p1_seed10,data/raw/p1_seed10.jpg,p1_seed,5,Bad,Good,0.88588,0.11412,0.88588,道路可見度 2 分、障礙物可辨識度 0 分、影像清晰度 1 分、遮擋程度 2 分、場景真實性 0 分，合計 5/10；圖片模糊、場景真實性低下且障礙物難以辨識。,模型可能較重視道路清楚可見且幾乎無遮擋，未充分考慮圖片模糊、障礙物難以辨識與場景真實性低下，因此將人工 Bad 錯判為 Good。,False,True
ResNet18,disagreement,False,p6_seed16,data/raw/p6_seed16.jpg,p6_seed,6,Bad,Good,0.948309,0.05169,0.948309,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
