image_id,image_path,human_score,human_label,reason
p0_img1,data/raw/p0_img1.png,7,Bad,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。
p0_img10,data/raw/p0_img10.png,8,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。
p0_img11,data/raw/p0_img11.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img12,data/raw/p0_img12.png,10,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。
p0_img13,data/raw/p0_img13.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img18,data/raw/p0_img18.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img19,data/raw/p0_img19.png,8,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。
p0_img20,data/raw/p0_img20.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img21,data/raw/p0_img21.png,8,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。
p0_img22,data/raw/p0_img22.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img23,data/raw/p0_img23.png,10,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。
p0_img24,data/raw/p0_img24.png,8,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。
p0_img25,data/raw/p0_img25.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img26,data/raw/p0_img26.png,8,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。
p0_img27,data/raw/p0_img27.png,10,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。
p0_img28,data/raw/p0_img28.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p0_img29,data/raw/p0_img29.png,9,Good,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。
p1_seed0,data/raw/p1_seed0.jpg,7,Bad,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。
p1_seed10,data/raw/p1_seed10.jpg,5,Bad,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。
