"image_id","image_path","human_score","human_label","reason"
"p0_img0","data/raw/p0_img0.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_img14","data/raw/p0_img14.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_img15","data/raw/p0_img15.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img16","data/raw/p0_img16.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_img17","data/raw/p0_img17.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img2","data/raw/p0_img2.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_img3","data/raw/p0_img3.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img4","data/raw/p0_img4.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img5","data/raw/p0_img5.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img6","data/raw/p0_img6.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img7","data/raw/p0_img7.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img8","data/raw/p0_img8.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_img9","data/raw/p0_img9.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_seed0","data/raw/p0_seed0.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p0_seed1","data/raw/p0_seed1.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed10","data/raw/p0_seed10.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed11","data/raw/p0_seed11.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed12","data/raw/p0_seed12.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed13","data/raw/p0_seed13.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed14","data/raw/p0_seed14.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_seed15","data/raw/p0_seed15.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p0_seed16","data/raw/p0_seed16.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
